# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_median_kernel_us,tcgen_min_kernel_us,mma_median_phase_us,tcgen_median_phase_us,speedup_median,mma_regs,tcgen_regs,mma_static_smem_B,tcgen_static_smem_B,mma_active_blocks_per_sm,tcgen_active_blocks_per_sm,scope
L0,16,12,1,30,200,5,4.112000,4.108000,6.150240,6.149600,4.112000,6.150240,0.668592,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,12,1,30,200,5,6.160000,6.159680,6.160000,6.154880,6.160000,6.160000,1.000000,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,12,64,30,200,5,24.597120,24.592161,16.389760,16.384640,0.384330,0.256090,1.500761,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,12,64,30,200,5,43.004160,43.003359,55.276322,55.271201,0.671940,0.863693,0.777985,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,148,1,30,200,5,4.117120,4.111520,6.159680,6.159360,4.117120,6.159680,0.668398,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,148,1,30,200,5,6.160000,6.159840,6.405920,6.404000,6.160000,6.405920,0.961611,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,148,64,30,200,5,24.607520,24.597280,16.395360,16.394720,0.384493,0.256178,1.500883,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,148,64,30,200,5,43.029122,43.024321,55.281281,55.276322,0.672330,0.863770,0.778367,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,12,1,30,200,5,4.107360,4.107200,6.160000,6.159840,4.107360,6.160000,0.666779,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,12,1,30,200,5,6.160000,6.159360,8.709760,8.709280,6.160000,8.709760,0.707253,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,12,64,30,200,5,16.395360,16.389920,18.442880,18.428800,0.256178,0.288170,0.888980,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,12,64,30,200,5,55.337758,55.337601,159.831676,159.831038,0.864652,2.497370,0.346225,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,148,1,30,200,5,4.388320,4.378720,8.208000,8.207360,4.388320,8.208000,0.534639,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,148,1,30,200,5,8.198080,8.197600,10.246080,10.236160,8.198080,10.246080,0.800119,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,148,64,30,200,5,16.400000,16.394880,18.453120,18.452160,0.256250,0.288330,0.888739,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,148,64,30,200,5,56.346560,56.326079,160.272007,160.250568,0.880415,2.504250,0.351568,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,64,12,1,30,200,5,6.149600,6.149120,10.256160,10.251360,6.149600,10.256160,0.599601,34,32,6144,6156,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,64,12,1,30,200,5,10.260960,10.256480,18.437920,18.432961,10.260960,18.437920,0.556514,38,39,23040,25100,9,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,64,12,64,30,200,5,21.003361,20.992801,22.876320,22.846241,0.328178,0.357442,0.918127,34,32,6144,6156,12,1,phase6_core_operands_prestaged_optimistic_tcgen
