range_name,iteration,kernel_class,range_relative_start_us,duration_us,short_name,grid_x,grid_y,grid_z,block_x,block_y,block_z,registers_per_thread,dynamic_smem_bytes
official_v128,0,copy,309.612,4.896,elementwise_kernel,96,1,1,128,1,1,20,0
official_v128,0,prepare,365.037,38.688,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
official_v128,0,recurrence,406.381,626.539,_flash_kda_fwd_recurrence,1,12,1,192,1,1,73,98432
official_v128,1,copy,1035.16,4.673,elementwise_kernel,96,1,1,128,1,1,20,0
official_v128,1,prepare,1041.113,37.952,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
official_v128,1,recurrence,1080.409,626.123,_flash_kda_fwd_recurrence,1,12,1,192,1,1,73,98432
official_v128,2,copy,1708.772,4.513,elementwise_kernel,96,1,1,128,1,1,20,0
official_v128,2,prepare,1714.917,37.12,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
official_v128,2,recurrence,1753.989,626.347,_flash_kda_fwd_recurrence,1,12,1,192,1,1,73,98432
official_v128,3,copy,2382.736,4.577,elementwise_kernel,96,1,1,128,1,1,20,0
official_v128,3,prepare,2388.913,36.928,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
official_v128,3,recurrence,2427.793,626.571,_flash_kda_fwd_recurrence,1,12,1,192,1,1,73,98432
official_v128,4,copy,3055.516,4.64,elementwise_kernel,96,1,1,128,1,1,20,0
official_v128,4,prepare,3061.501,37.088,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
official_v128,4,recurrence,3100.413,625.163,_flash_kda_fwd_recurrence,1,12,1,192,1,1,73,98432
auto_valueslice,0,copy,35.7,4.576,elementwise_kernel,96,1,1,128,1,1,20,0
auto_valueslice,0,prepare,57.844,37.697,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
auto_valueslice,0,recurrence,96.853,452.264,_flash_kda_fwd_recurrence,1,12,8,96,1,1,54,48640
auto_valueslice,1,copy,551.357,4.832,elementwise_kernel,96,1,1,128,1,1,20,0
auto_valueslice,1,prepare,557.565,37.473,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
auto_valueslice,1,recurrence,596.19,451.08,_flash_kda_fwd_recurrence,1,12,8,96,1,1,54,48640
auto_valueslice,2,copy,1048.838,4.832,elementwise_kernel,96,1,1,128,1,1,20,0
auto_valueslice,2,prepare,1054.982,37.152,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
auto_valueslice,2,recurrence,1093.894,451.144,_flash_kda_fwd_recurrence,1,12,8,96,1,1,54,48640
auto_valueslice,3,copy,1546.67,4.897,elementwise_kernel,96,1,1,128,1,1,20,0
auto_valueslice,3,prepare,1552.911,37.408,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
auto_valueslice,3,recurrence,1591.727,451.24,_flash_kda_fwd_recurrence,1,12,8,96,1,1,54,48640
auto_valueslice,4,copy,2044.375,4.832,elementwise_kernel,96,1,1,128,1,1,20,0
auto_valueslice,4,prepare,2050.391,37.153,_flash_kda_fwd_prepare,256,12,1,256,1,1,32,21248
auto_valueslice,4,recurrence,2089.24,451.08,_flash_kda_fwd_recurrence,1,12,8,96,1,1,54,48640
