campaign=03_reference_correctness
started_utc=2026-09-03T07:10:07Z
flashkda_commit=1ce47ea3bb22c84eb9cc665028399cf35e8ffb0b
worktree_dirty_files=12
name, uuid, driver_version, clocks.current.sm [MHz], clocks.max.sm [MHz], memory.total [MiB]
NVIDIA B300 SXM6 AC, GPU-<REDACTED>, 580.126.09, 1905 MHz, 2032 MHz, 275040 MiB
extension=/home/lcpu/<USER_ID>/FlashKDA/results/20260821_dispatch_boundary/integrated_dispatch/lib/flash_kda_C.cpython-312-x86_64-linux-gnu.so
device={'device': 0, 'major': 10, 'minor': 3, 'sm_count': 148, 'l2_bytes': 132644864, 'shared_memory_per_sm': 233472, 'registers_per_sm': 65536, 'max_threads_per_sm': 2048, 'warp_size': 32, 'max_blocks_per_sm': 32}
fla_version=0.5.2
naive_path=/home/lcpu/<USER_ID>/FlashKDA/.venv/lib/python3.12/site-packages/fla/ops/kda/naive.py
naive_sha256=60a32285d4b67068ff633b48bbe8ab31028066d24f00d27e12199a88fc73f016
chunk_path=/home/lcpu/<USER_ID>/FlashKDA/.venv/lib/python3.12/site-packages/fla/ops/kda/chunk.py
chunk_sha256=a15aa6ac257af5c8f7a1d6afc21a417391568e90a8898d4e228ddeb48cb0e9b8
FLA_FLASH_KDA=0
reference_hash_matches={'naive': True, 'chunk': True}
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_fixed candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v32 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=bitwise_ragged candidate=flash_v64 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
case_start name=fixed_short_stateful lengths=(257,) heads=1 gate=random state_mode=in_out
metric case=fixed_short_stateful candidate=fla_chunk_fp32_state reference=naive_fp32_state tensor=output max_abs=3.235415e-04 rmse=2.150458e-05 rel_rmse=3.868783e-03 bitwise=False
metric case=fixed_short_stateful candidate=fla_chunk_fp32_state reference=naive_fp32_state tensor=final_state max_abs=2.015054e-03 rmse=1.351560e-04 rel_rmse=3.013743e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_stateful candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_stateful candidate=flash_v128_bf16_public_state reference=naive_fp32_state tensor=output max_abs=4.889481e-04 rmse=3.145836e-05 rel_rmse=5.659519e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v128_bf16_public_state reference=naive_fp32_state tensor=final_state max_abs=2.210304e-03 rmse=2.178574e-04 rel_rmse=4.857842e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v128_bf16_public_state reference=fla_chunk_fp32_state tensor=output max_abs=4.882812e-04 rmse=3.076619e-05 rel_rmse=5.537352e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v128_bf16_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=1.821116e-03 rmse=2.267404e-04 rel_rmse=5.055682e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_bf16_public_state reference=naive_fp32_state tensor=output max_abs=4.889481e-04 rmse=3.145836e-05 rel_rmse=5.659519e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_bf16_public_state reference=naive_fp32_state tensor=final_state max_abs=2.210304e-03 rmse=2.178574e-04 rel_rmse=4.857842e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_bf16_public_state reference=fla_chunk_fp32_state tensor=output max_abs=4.882812e-04 rmse=3.076619e-05 rel_rmse=5.537352e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_bf16_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=1.821116e-03 rmse=2.267404e-04 rel_rmse=5.055682e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_stateful candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_stateful candidate=flash_v128_fp32_public_state reference=naive_fp32_state tensor=output max_abs=4.889481e-04 rmse=3.145836e-05 rel_rmse=5.659519e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v128_fp32_public_state reference=naive_fp32_state tensor=final_state max_abs=2.210304e-03 rmse=2.178574e-04 rel_rmse=4.857842e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v128_fp32_public_state reference=fla_chunk_fp32_state tensor=output max_abs=4.882812e-04 rmse=3.076619e-05 rel_rmse=5.537352e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v128_fp32_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=1.821116e-03 rmse=2.267404e-04 rel_rmse=5.055682e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_fp32_public_state reference=naive_fp32_state tensor=output max_abs=4.889481e-04 rmse=3.145836e-05 rel_rmse=5.659519e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_fp32_public_state reference=naive_fp32_state tensor=final_state max_abs=2.210304e-03 rmse=2.178574e-04 rel_rmse=4.857842e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_fp32_public_state reference=fla_chunk_fp32_state tensor=output max_abs=4.882812e-04 rmse=3.076619e-05 rel_rmse=5.537352e-03 bitwise=False
metric case=fixed_short_stateful candidate=flash_v16_fp32_public_state reference=fla_chunk_fp32_state tensor=final_state max_abs=1.821116e-03 rmse=2.267404e-04 rel_rmse=5.055682e-03 bitwise=False
case_start name=fixed_short_out_only lengths=(33,) heads=1 gate=random state_mode=out_only
metric case=fixed_short_out_only candidate=fla_chunk_fp32_state reference=naive_fp32_state tensor=output max_abs=1.901835e-04 rmse=1.490991e-05 rel_rmse=3.980024e-03 bitwise=False
metric case=fixed_short_out_only candidate=fla_chunk_fp32_state reference=naive_fp32_state tensor=final_state max_abs=2.380729e-03 rmse=1.865005e-04 rel_rmse=3.066694e-03 bitwise=False
metric case=fixed_short_out_only candidate=flash_v16 reference=flash_v128 tensor=output max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
metric case=fixed_short_out_only candidate=flash_v16 reference=flash_v128 tensor=final_state max_abs=0.000000e+00 rmse=0.000000e+00 rel_rmse=0.000000e+00 bitwise=True
