case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
fixed_1x8192,False,1,8192,12,v16,0,0,0.5692544010281563,0.5689600110054016,0.5709440112113953,0.5676479935646057,0.5911679863929749,0.0020537581333526494
fixed_1x8192,False,1,8192,12,auto,0,1,0.5694688025116921,0.5696960091590881,0.57123202085495,0.5676479935646057,0.5889919996261597,0.001927118819239828
fixed_1x8192,False,1,8192,12,compat_v128,0,2,0.7801699191331863,0.780672013759613,0.7828800082206726,0.7767680287361145,0.7954879999160767,0.002115485629235092
fixed_1x8192,False,1,8192,12,v32,0,3,0.5849667200446129,0.5843999981880188,0.5863999724388123,0.5820479989051819,0.6015679836273193,0.0016567663497731007
fixed_1x8192,False,1,8192,12,v64,0,4,0.6345022401213646,0.6336160004138947,0.6356800198554993,0.6314240097999573,0.6483200192451477,0.0016321843536102913
fixed_1x8192,False,1,8192,12,auto,1,0,0.5694430378079415,0.5697919726371765,0.571008026599884,0.5676479935646057,0.5820479989051819,0.0016001860564058997
fixed_1x8192,False,1,8192,12,v32,1,1,0.584810557961464,0.584384024143219,0.5863360166549683,0.5821120142936707,0.5995839834213257,0.001590266032454057
fixed_1x8192,False,1,8192,12,v64,1,2,0.6347777593135834,0.6352319717407227,0.6364799737930298,0.6314240097999573,0.6487360000610352,0.0016465421391200683
fixed_1x8192,False,1,8192,12,v16,1,3,0.5694996815919876,0.5690719783306122,0.5709440112113953,0.5675839781761169,0.620639979839325,0.0038615179651583106
fixed_1x8192,False,1,8192,12,compat_v128,1,4,0.7801742404699326,0.7800000011920929,0.7828159928321838,0.7767680287361145,0.7934399843215942,0.0019261686510710352
fixed_1x8192,False,1,8192,12,v64,2,0,0.6348716795444489,0.6348960101604462,0.6357759833335876,0.6314560174942017,0.6810879707336426,0.003555786602199921
fixed_1x8192,False,1,8192,12,v16,2,1,0.5695806390047073,0.5698239803314209,0.5718719959259033,0.566815972328186,0.5937920212745667,0.002211872710449742
fixed_1x8192,False,1,8192,12,compat_v128,2,2,0.7803800007700921,0.7807360291481018,0.7829440236091614,0.7767040133476257,0.800383985042572,0.0023340149861572103
fixed_1x8192,False,1,8192,12,v32,2,3,0.5851068788766861,0.5844159722328186,0.5863680243492126,0.5820800065994263,0.5974079966545105,0.0015346059329655601
fixed_1x8192,False,1,8192,12,auto,2,4,0.5696974381804466,0.5698239803314209,0.5718079805374146,0.5675839781761169,0.5856959819793701,0.001739436297477097
packed_1x8192,True,1,8192,12,v32,0,0,0.5837527993321419,0.5841280221939087,0.5861120223999023,0.5802239775657654,0.599295973777771,0.0018125030564734301
packed_1x8192,True,1,8192,12,v64,0,1,0.6330988776683807,0.6332799792289734,0.6353600025177002,0.6283199787139893,0.6488639712333679,0.002157042609442246
packed_1x8192,True,1,8192,12,v16,0,2,0.5741539227962494,0.5739520192146301,0.5760639905929565,0.569920003414154,0.5864959955215454,0.0018236062691304633
packed_1x8192,True,1,8192,12,auto,0,3,0.574113761484623,0.5740159749984741,0.5759999752044678,0.5698879957199097,0.5893120169639587,0.001850661463253725
packed_1x8192,True,1,8192,12,compat_v128,0,4,0.7854073601961136,0.7849599719047546,0.7870720028877258,0.7807999849319458,0.79830402135849,0.0017841601246706342
packed_1x8192,True,1,8192,12,v64,1,0,0.6327956765890121,0.633247971534729,0.6353279948234558,0.6292160153388977,0.6476479768753052,0.0019857793400276215
packed_1x8192,True,1,8192,12,v32,1,1,0.5838190373778344,0.5841280221939087,0.5861120223999023,0.5799999833106995,0.5950719714164734,0.001654415664895477
packed_1x8192,True,1,8192,12,auto,1,2,0.5743099209666253,0.5740159749984741,0.5760319828987122,0.5698239803314209,0.5874879956245422,0.001827630195592794
packed_1x8192,True,1,8192,12,compat_v128,1,3,0.7853648003935814,0.784928023815155,0.7870399951934814,0.7819520235061646,0.7945280075073242,0.0015380238786603293
packed_1x8192,True,1,8192,12,v16,1,4,0.5740577620267868,0.5739520192146301,0.5759680271148682,0.5699840188026428,0.589792013168335,0.0018200933679124744
packed_1x8192,True,1,8192,12,v64,2,0,0.6329532772302627,0.6332799792289734,0.6353600025177002,0.6291519999504089,0.646336019039154,0.001954451690121202
packed_1x8192,True,1,8192,12,compat_v128,2,1,0.7853302377462387,0.7849599719047546,0.7870399951934814,0.7818560004234314,0.795520007610321,0.0017556541115304853
packed_1x8192,True,1,8192,12,v16,2,2,0.5741673621535301,0.5739840269088745,0.5760319828987122,0.5698559880256653,0.5841919779777527,0.0016898434435158429
packed_1x8192,True,1,8192,12,auto,2,3,0.5740760031342507,0.5739680230617523,0.5760319828987122,0.5701119899749756,0.5859839916229248,0.0017906016903917452
packed_1x8192,True,1,8192,12,v32,2,4,0.5839372792840004,0.5841280221939087,0.5861759781837463,0.5800960063934326,0.5962560176849365,0.0016808166921487785
packed_ragged6,True,6,8192,12,v64,0,0,0.2808959993720055,0.2810559868812561,0.2812800109386444,0.2779519855976105,0.28812798857688904,0.0009471904523462492
packed_ragged6,True,6,8192,12,v32,0,1,0.28727536112070085,0.28723201155662537,0.289216011762619,0.2850880026817322,0.297791987657547,0.0013568897947841682
packed_ragged6,True,6,8192,12,auto,0,2,0.33990480065345763,0.34040001034736633,0.34064000844955444,0.3373120129108429,0.3498240113258362,0.0012352187234211498
packed_ragged6,True,6,8192,12,v16,0,3,0.32121055856347086,0.32180801033973694,0.3221440017223358,0.3182399868965149,0.33270400762557983,0.0013661094044328096
packed_ragged6,True,6,8192,12,compat_v128,0,4,0.3398353596031666,0.34035199880599976,0.34064000844955444,0.33747199177742004,0.3501119911670685,0.001250556553936584
packed_ragged6,True,6,8192,12,compat_v128,1,0,0.3397526405751705,0.34031999111175537,0.3405759930610657,0.33740800619125366,0.34883201122283936,0.0011729982333946519
packed_ragged6,True,6,8192,12,v64,1,1,0.280688638985157,0.2810240089893341,0.28121599555015564,0.27804800868034363,0.29049599170684814,0.0010932687147532907
