metric,value,unit,source,notes
official_h96_fixed_flash,1.0304,ms,01_official_benchmark_17926.log,
official_h96_fixed_chunk,2.4155,ms,01_official_benchmark_17926.log,
official_h96_fixed_speedup_vs_chunk,2.3442352484472053,x,derived from Job 17926 means,
official_h96_ragged_6_flash,0.8612,ms,01_official_benchmark_17926.log,
official_h96_ragged_6_chunk,2.4255,ms,01_official_benchmark_17926.log,
official_h96_ragged_6_speedup_vs_chunk,2.8164189503019044,x,derived from Job 17926 means,
official_h96_8_x_1024_flash,0.6963,ms,01_official_benchmark_17926.log,
official_h96_8_x_1024_chunk,2.3814,ms,01_official_benchmark_17926.log,
official_h96_8_x_1024_speedup_vs_chunk,3.4200775527789746,x,derived from Job 17926 means,
official_h64_fixed_flash,0.941,ms,01_official_benchmark_17926.log,
official_h64_fixed_chunk,1.6856,ms,01_official_benchmark_17926.log,
official_h64_fixed_speedup_vs_chunk,1.7912858660998938,x,derived from Job 17926 means,
official_h64_ragged_6_flash,0.6532,ms,01_official_benchmark_17926.log,
official_h64_ragged_6_chunk,1.699,ms,01_official_benchmark_17926.log,
official_h64_ragged_6_speedup_vs_chunk,2.601041028781384,x,derived from Job 17926 means,
official_h64_8_x_1024_flash,0.474,ms,01_official_benchmark_17926.log,
official_h64_8_x_1024_chunk,1.5964,ms,01_official_benchmark_17926.log,
official_h64_8_x_1024_speedup_vs_chunk,3.367932489451477,x,derived from Job 17926 means,
chunk16_ftz_fraction,0.0,fraction,04_chunk_analysis_17935.csv,
chunk16_neumann_sequence_cost_vs_c16,1.0,x,04_chunk_analysis_17935.csv,
chunk16_workspace_per_head,6.75,MiB,04_chunk_analysis_17935.csv,
chunk32_ftz_fraction,0.46875,fraction,04_chunk_analysis_17935.csv,
chunk32_neumann_sequence_cost_vs_c16,5.333333333333333,x,04_chunk_analysis_17935.csv,
chunk32_workspace_per_head,7.125,MiB,04_chunk_analysis_17935.csv,
chunk64_ftz_fraction,0.734375,fraction,04_chunk_analysis_17935.csv,
chunk64_neumann_sequence_cost_vs_c16,26.666666666666668,x,04_chunk_analysis_17935.csv,
chunk64_workspace_per_head,8.0625,MiB,04_chunk_analysis_17935.csv,
tcgen_l0_v128_grid12_inner64_speedup,0.919742,x MMA/TCGEN,03_tcgen05_probe_17937.csv,
tcgen_l0_v128_grid148_inner64_speedup,0.903891,x MMA/TCGEN,03_tcgen05_probe_17937.csv,
tcgen_l1_v128_grid12_inner64_speedup,0.256278,x MMA/TCGEN,03_tcgen05_probe_17937.csv,
tcgen_l1_v128_grid148_inner64_speedup,0.256393,x MMA/TCGEN,03_tcgen05_probe_17937.csv,
dispatch_fixed_1x8192_v16_median,0.5690719783306122,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_fixed_1x8192_v16_latency_reduction_vs_v128,27.10485731516916,%,derived from Job 17947 medians,
dispatch_fixed_1x8192_v32_median,0.5843999981880188,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_fixed_1x8192_v32_latency_reduction_vs_v128,25.14141817718996,%,derived from Job 17947 medians,
dispatch_fixed_1x8192_v64_median,0.6348960101604462,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_fixed_1x8192_v64_latency_reduction_vs_v128,18.673143270133245,%,derived from Job 17947 medians,
dispatch_fixed_1x8192_compat_v128_median,0.780672013759613,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_fixed_1x8192_compat_v128_latency_reduction_vs_v128,0.0,%,derived from Job 17947 medians,
dispatch_fixed_1x8192_auto_median,0.5697919726371765,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_fixed_1x8192_auto_latency_reduction_vs_v128,27.012629811957286,%,derived from Job 17947 medians,
dispatch_packed_1x8192_v16_median,0.5739520192146301,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_1x8192_v16_latency_reduction_vs_v128,26.8813646864184,%,derived from Job 17947 medians,
dispatch_packed_1x8192_v32_median,0.5841280221939087,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_1x8192_v32_latency_reduction_vs_v128,25.584992470828112,%,derived from Job 17947 medians,
dispatch_packed_1x8192_v64_median,0.6332799792289734,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_1x8192_v64_latency_reduction_vs_v128,19.32327737779039,%,derived from Job 17947 medians,
dispatch_packed_1x8192_compat_v128_median,0.7849599719047546,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_1x8192_compat_v128_latency_reduction_vs_v128,0.0,%,derived from Job 17947 medians,
dispatch_packed_1x8192_auto_median,0.5740159749984741,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_1x8192_auto_latency_reduction_vs_v128,26.873217037349264,%,derived from Job 17947 medians,
