# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_median_kernel_us,tcgen_min_kernel_us,mma_median_phase_us,tcgen_median_phase_us,speedup_median,mma_regs,tcgen_regs,mma_static_smem_B,tcgen_static_smem_B,mma_active_blocks_per_sm,tcgen_active_blocks_per_sm,scope
L0,16,12,1,30,200,5,4.107360,4.107040,6.149760,6.149760,4.107360,6.149760,0.667889,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,12,1,30,200,5,6.159840,6.159360,6.159360,6.154560,6.159840,6.159360,1.000078,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,12,64,30,200,5,24.596961,24.592481,16.384640,16.383680,0.384328,0.256010,1.501221,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,12,64,30,200,5,43.003521,43.002558,55.277438,55.276322,0.671930,0.863710,0.777958,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,148,1,30,200,5,4.117120,4.116640,6.160000,6.155200,4.117120,6.160000,0.668364,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,148,1,30,200,5,6.160000,6.155200,6.411200,6.404960,6.160000,6.411200,0.960819,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,148,64,30,200,5,24.607840,24.602721,16.395200,16.390080,0.384497,0.256175,1.500917,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,148,64,30,200,5,43.029280,43.019361,55.281119,55.276160,0.672332,0.863767,0.778372,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,12,1,30,200,5,4.107200,4.106880,6.160160,6.160000,4.107200,6.160160,0.666736,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,12,1,30,200,5,6.160160,6.159680,8.715040,8.709600,6.160160,8.715040,0.706842,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,12,64,30,200,5,16.390240,16.389600,18.438240,18.427360,0.256098,0.288098,0.888926,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,12,64,30,200,5,55.342722,55.342078,159.832163,159.831524,0.864730,2.497378,0.346255,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,148,1,30,200,5,4.368000,4.362880,8.203360,8.203200,4.368000,8.203360,0.532465,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,148,1,30,200,5,8.197760,8.197600,10.245920,10.245759,8.197760,10.245920,0.800100,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,32,148,64,30,200,5,16.400000,16.399680,18.453600,18.452160,0.256250,0.288338,0.888715,34,32,5120,5132,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,32,148,64,30,200,5,56.336322,56.325440,160.261440,160.251522,0.880255,2.504085,0.351528,32,39,13824,14860,15,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,64,12,1,30,200,5,6.155040,6.154880,10.254880,10.246080,6.155040,10.254880,0.600206,34,32,6144,6156,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,64,12,1,30,200,5,10.255840,10.251360,18.437920,18.432640,10.255840,18.437920,0.556236,38,39,23040,25100,9,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,64,12,64,30,200,5,21.003201,20.997119,22.876959,22.824640,0.328175,0.357452,0.918094,34,32,6144,6156,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,64,12,64,30,200,5,159.677763,159.667997,624.753761,624.671822,2.494965,9.761778,0.255585,38,39,23040,25100,9,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,64,148,1,30,200,5,6.154880,6.154720,12.094400,12.017760,6.154880,12.094400,0.508903,34,32,6144,6156,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,64,148,1,30,200,5,10.768321,10.767360,18.453280,18.448000,10.768321,18.453280,0.583545,38,39,23040,25100,9,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,64,148,64,30,200,5,22.533281,22.522881,24.596801,24.592321,0.352083,0.384325,0.916106,34,32,6144,6156,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,64,148,64,30,200,5,159.687996,159.678402,624.958229,624.957771,2.495125,9.764972,0.255518,38,39,23040,25100,9,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,1,30,200,5,6.164960,6.155360,16.389760,16.384320,6.164960,16.389760,0.376147,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,1,30,200,5,16.405120,16.400321,30.745599,30.741601,16.405120,30.745599,0.533576,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,64,30,200,5,37.571681,37.545919,40.868959,40.827999,0.587058,0.638577,0.919321,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,64,30,200,5,305.023689,305.015049,1190.313797,1190.252304,4.765995,18.598653,0.256255,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,1,30,200,5,7.312000,7.306880,18.452640,18.437279,7.312000,18.452640,0.396258,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,1,30,200,5,18.431840,18.427520,31.750240,31.749761,18.431840,31.750240,0.580526,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,64,30,200,5,38.906879,38.902719,43.028479,43.014078,0.607920,0.672320,0.904212,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,64,30,200,5,305.311356,305.311203,1190.815201,1190.743332,4.770490,18.606488,0.256389,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
