# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_median_kernel_us,tcgen_min_kernel_us,mma_median_phase_us,tcgen_median_phase_us,speedup_median,mma_regs,tcgen_regs,mma_static_smem_B,tcgen_static_smem_B,mma_active_blocks_per_sm,tcgen_active_blocks_per_sm,scope
L0,128,12,1,20,100,5,7.200320,7.199040,14.880000,14.879360,7.200320,14.880000,0.483892,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,1,20,100,5,16.416640,16.408319,30.742400,30.721920,16.416640,30.742400,0.534006,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,4,20,100,5,8.224000,8.223680,16.415679,16.414720,2.056000,4.103920,0.500984,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,4,20,100,5,30.742719,30.741439,83.007364,82.996159,7.685680,20.751841,0.370361,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,16,20,100,5,14.368000,14.366720,20.511360,20.502720,0.898000,1.281960,0.700490,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,16,20,100,5,86.005764,85.986557,294.114246,294.011841,5.375360,18.382140,0.292423,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,64,20,100,5,38.523519,38.453121,39.211841,39.179840,0.601930,0.612685,0.982446,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,64,20,100,5,305.039997,305.021114,1138.146591,1138.105927,4.766250,17.783540,0.268015,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,96,20,100,5,53.310080,53.298879,52.082238,51.939521,0.555313,0.542523,1.023575,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,96,20,100,5,450.796814,450.795822,1700.732117,1700.713348,4.695800,17.715960,0.265060,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,128,20,100,5,69.633918,69.633279,64.542398,64.521918,0.544015,0.504237,1.078886,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,128,20,100,5,597.741432,597.739182,2263.778534,2263.615417,4.669855,17.685770,0.264046,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,256,20,100,5,132.999363,132.978239,114.678717,114.658880,0.519529,0.447964,1.159756,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,256,20,100,5,1182.292175,1182.290878,4513.988037,4513.865051,4.618329,17.632766,0.261917,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,512,20,100,5,258.275528,258.213444,213.117123,213.115520,0.504444,0.416244,1.211895,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,512,20,100,5,2352.027893,2352.026825,9015.541992,9015.522461,4.593804,17.608480,0.260886,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,1,20,100,5,7.241920,7.219200,18.462400,18.454400,7.241920,18.462400,0.392252,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,1,20,100,5,16.928000,16.928000,30.741761,30.732479,16.928000,30.741761,0.550652,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,4,20,100,5,8.224320,8.214080,19.888639,19.824960,2.056080,4.972160,0.413518,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,4,20,100,5,30.760319,30.732160,83.948803,83.938236,7.690080,20.987201,0.366418,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,16,20,100,5,14.367681,14.360321,24.597759,24.597120,0.897980,1.537360,0.584105,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
